hash	mode	wlhash	stabilized_at	cpu_time_s	max_mem_kib	local	isohash	family	result	clauses	variables	bytes	cls1	cls2	cls3	cls4	cls5	cls6	cls7	cls8	cls9	cls10p	horn	invhorn	positive	negative
00316e383123773ae35d3210f5396205	none	481daf60799368ae	5	0.092079	0	/nfs/share/instances/gbd/cnf/00316e383123773ae35d3210f5396205-x9-11064.sat.sanitized.cnf.xz	9368b98845a0f9d0557d536ab072e400	hamiltonian	unknown	4940	550	61464	0	4500	0	100	240	100	0	0	0	0	4500	440	440	4500
0033baadbd48d3f880e9b5a733bd4950	none	29865d9ee527fa44	1	0.022567	0	/nfs/share/instances/gbd/cnf/0033baadbd48d3f880e9b5a733bd4950-rope_0030.shuffled.cnf.xz	767c3e4149c9da1265bdfdb3e1526766	coloring	unsat	2520	1080	29236	0	2160	360	0	0	0	0	0	0	0	1810	1772	562	628
0035666407d4ccb5082630045d60a5fe	none	dff16a564dc8782d	3	0.114319	0	/nfs/share/instances/gbd/cnf/0035666407d4ccb5082630045d60a5fe-unif-k5-r21.117-v300-c6335-S7321118839272301463.cnf.xz	dbcbcc0d7ada0bf52960d506ac2fdfc7	uniform-random	unknown	6335	300	143385	0	0	0	0	6335	0	0	0	0	0	1173	1231	221	195
0038cea06eae4c3234b7bb65d9a8497c	none	86fe91bc55cad0c4	3	0.135982	0	/nfs/share/instances/gbd/cnf/0038cea06eae4c3234b7bb65d9a8497c-unif-k7-r89-v65-c5785-S709270457-007.cnf.xz	9ad8991134b4b8fce5115a69f27fb3e6	uniform-random	sat	5785	65	146422	0	0	0	0	0	0	5785	0	0	0	381	384	38	40
003a77d2aa15a5f93aa2cfe79b986c9e	none	0c2edd9658356c79	2	0.381621	0	/nfs/share/instances/gbd/cnf/003a77d2aa15a5f93aa2cfe79b986c9e-fclqcolor-20-15-15.shuffled-as.sat05-1270.cnf.xz	52b4b2deffe6f3a04cde483bc0665f3a	coloring	sat	49835	790	718484	0	7050	42750	0	0	0	0	0	0	35	24809	28599	7950	5980
003de2086be59a5fb7a7aaad0992cf47	none	8b28f3ae06e19023	6	0.07393	0	/nfs/share/instances/gbd/cnf/003de2086be59a5fb7a7aaad0992cf47-x9-07025.sat.sanitized.cnf.xz	b4980faa72567edd1a8724e53088db1d	hamiltonian	unknown	3146	350	38238	0	2866	0	66	148	66	0	0	0	0	2866	280	280	2866
003deabca05a76f3ee449221a80d8b62	none	7562db52ecefc111	24	71.5481	175648	/nfs/share/instances/gbd/cnf/003deabca05a76f3ee449221a80d8b62-42-127629.cnf.xz	b3577d5a29c8de66ba0ef905fbaf8d01	station-repacking	unknown	746852	30142	11511107	3	745448	1	1	4	2	0	9	4	1380	745451	1404	1404	745448
0041051c73dcdd885d412a38e8b09fba	none	f35b6f503c96c353	3	0.086879	0	/nfs/share/instances/gbd/cnf/0041051c73dcdd885d412a38e8b09fba-rphp4_065_shuffled.cnf.xz	1731a457fce065a6a758b224839f45ee	relativized-pigeon-hole	unsat	6959	520	128602	0	650	0	6305	0	0	0	0	0	4	2235	2499	514	425
0041f01bcd7d0d1f9541cea6da79ad57	none	3c49a0f8ebc04e7e	5	1.00334	0	/nfs/share/instances/gbd/cnf/0041f01bcd7d0d1f9541cea6da79ad57-SGI_30_60_24_40_2-dir.shuffled-as.sat03-118.cnf.xz	dbc0536d387cedf9d93e2cba738a15d5	subgraph-isomorphism	unsat	58758	720	628649	0	58734	0	0	0	0	0	0	0	24	42651	45366	16083	13368
0042a627dfba7daa62d6ce175540c8a2	none	a619ad377631421f	4	1.05831	0	/nfs/share/instances/gbd/cnf/0042a627dfba7daa62d6ce175540c8a2-unif-k3-r4.267-v12200-c52057-S523604335245593178.cnf.xz	00e84d0fce166b24a60e3ea4f0c39069	uniform-random	sat	52057	12200	977220	0	0	52057	0	0	0	0	0	0	0	26040	26017	6415	6474
0043cfdde474fa37dfeb5ce5952d22f6	none	0e42ef80e329f296	4	0.057834	0	/nfs/share/instances/gbd/cnf/0043cfdde474fa37dfeb5ce5952d22f6-unif-c2520-v600-s1111033636.cnf.xz	e572d26645b1d19679631b2bd1f73955	uniform-random	unknown	2520	600	37574	0	0	2520	0	0	0	0	0	0	0	1229	1291	322	277
0049919cdf9556bfda5bb365af72414c	none	703f1c7e72447ee6	24	70.7829	177612	/nfs/share/instances/gbd/cnf/0049919cdf9556bfda5bb365af72414c-57-124044.cnf.xz	8bae8be4a4a1f4f09aaa6ddcf82a8c96	station-repacking	unknown	759017	30582	11708401	3	757588	2	1	5	3	0	9	3	1403	757591	1429	1429	757588
004b0f451f7d96f6a572e9e76360f51a	none	ab20135f9b5b6a4a	NA	1268.22	1066180	/nfs/share/instances/gbd/cnf/004b0f451f7d96f6a572e9e76360f51a-spg_420_280.cnf.xz	8614f82909dc0eaab513724a4ecf9835	cellular-automata	unsat	3463100	674643	93154305	0	602493	1466473	829493	549907	14734	0	0	0	0	1646404	1342905	237160	528240
005093e294b0ed0f7b23f341ff68968b	none	64ac332d146c976e	24	58.4927	143868	/nfs/share/instances/gbd/cnf/005093e294b0ed0f7b23f341ff68968b-55-115476.cnf.xz	b21f609b4df1cc4005ff03168b39dddd	station-repacking	unknown	610850	27075	9370661	3	609591	1	1	4	2	0	9	5	1234	609594	1259	1259	609591
00547b9476397463c8220560aeeea086	none	251ce6c2f5e38c82	74	97.3707	75268	/nfs/share/instances/gbd/cnf/00547b9476397463c8220560aeeea086-bench_3250.smt2.cnf.xz	7048a928cf30d19ea90bf3d1226af0b1	agile	sat	237920	66184	4569860	27	66447	166371	5069	0	0	0	4	0	2	115955	156700	45445	29596
005522cf558f9b77ed345a289384e191	none	c8c861131ca7239d	4	0.041756	0	/nfs/share/instances/gbd/cnf/005522cf558f9b77ed345a289384e191-unif-k3-r4.25-v420-c1785-S1394036608-091.cnf.xz	0b4af51b741fbb14bd00344a0cf306d5	uniform-random	unknown	1785	420	26281	0	0	1785	0	0	0	0	0	0	0	880	905	249	213
00597fb425e994af7a9d224ef4d09fc4	none	5dde3a5eca7c2735	24	78.7829	169580	/nfs/share/instances/gbd/cnf/00597fb425e994af7a9d224ef4d09fc4-41-118813.cnf.xz	3e16c3107f0876b1db6dc13f179964a2	station-repacking	unknown	679195	28641	10451926	3	677864	1	1	4	2	0	8	4	1308	677867	1331	1331	677864
0059d4b1cf79efbc6e6ed50caee0448e	none	41e2586528b587a5	10	0.155648	0	/nfs/share/instances/gbd/cnf/0059d4b1cf79efbc6e6ed50caee0448e-4col220_9_1.shuffled.cnf.xz	5865199aa84abc74c6a4626dae53555a	coloring	sat	3966	440	75241	6	0	0	3960	0	0	0	0	0	0	1208	1208	228	226
005ccb378ced61c02105ed7ee0a62038	none	b542535416370414	1	0.330852	0	/nfs/share/instances/gbd/cnf/005ccb378ced61c02105ed7ee0a62038-mm-2x2-5-0-s.1.shuffled-as.sat03-1496.cnf.xz	9cc1026828eb0c34c158572ced7530ad	matrix-multiplication	unsat	32000	60	880640	0	0	0	0	1944	0	22680	0	2160	5216	1383	2290	403	219
005d76c0f37b33d8b752f7ebdd157a99	none	0d312ba0b15a2b1f	5	0.047416	0	/nfs/share/instances/gbd/cnf/005d76c0f37b33d8b752f7ebdd157a99-x9-05041.sat.sanitized.cnf.xz	0075735c23a69c9898351ac443af5d3c	hamiltonian	unknown	2253	250	26806	0	2053	0	53	94	53	0	0	0	0	2053	200	200	2053
00613b57720df18bec8d8dc68dc57a7b	none	2f54ee68f4f4a6aa	24	71.5904	178640	/nfs/share/instances/gbd/cnf/00613b57720df18bec8d8dc68dc57a7b-51-135677.cnf.xz	bf482e8e134f686cb8d57bb4f1aa6799	station-repacking	unknown	756640	30429	11668943	3	755221	2	1	4	2	0	10	5	1392	755224	1419	1419	755221
006282ac3d0013b911249d14c326f53d	none	15907c054a561d51	14	1.0025	0	/nfs/share/instances/gbd/cnf/006282ac3d0013b911249d14c326f53d-bench_5908.smt2.cnf.xz	bd40bcc4daef04707a96e44a4eb0f14a	agile	unsat	16973	4913	263329	30	6865	9391	677	0	0	1	9	0	0	8700	11293	4615	1839
0062dc10471119b9e13da682216b190f	none	3d14806330b14302	18	139.099	455716	/nfs/share/instances/gbd/cnf/0062dc10471119b9e13da682216b190f-ex179_11.cnf.xz	7e2613987e25c3050afcd89a56b4afc4	tree-decomposition	sat	1735561	127037	36143236	1541	170913	834197	728910	0	0	0	0	0	0	641999	491864	246	46537
0064aa2e16c9d4b18d32a45d3073fce9	none	eff8268e46a34739	25	21.1693	59200	/nfs/share/instances/gbd/cnf/0064aa2e16c9d4b18d32a45d3073fce9-desmul.miter.used-as.sat04-330.cnf.xz	1e7e0203228fbd91f74db79d140099fc	miter	unsat	179895	28902	3949720	0	41362	84684	0	53848	0	0	0	0	1	48197	105262	46244	14440
0067d012901f358831afb6d6e5f83767	none	d10d29781f80db11	NA	529.922	339348	/nfs/share/instances/gbd/cnf/0067d012901f358831afb6d6e5f83767-bench_13811.smt2.cnf.xz	fbcb811266df25610bba15eddade86fd	agile	sat	1109409	318003	23051079	4748	378833	689156	35764	0	6	23	267	470	142	651300	646869	299664	83353
006be0fb3ae0a75aac0e386c2e6c4669	none	06ca2609a4844ff8	59	51.6703	57588	/nfs/share/instances/gbd/cnf/006be0fb3ae0a75aac0e386c2e6c4669-bench_501.smt2.cnf.xz	71e6e1d39c27648e0bbb09f85e7c3123	agile	sat	179968	50593	3389065	387	51921	123619	3977	0	5	1	50	0	8	89002	117367	36580	22200
006c57c6c09a6e4a4402f1dd264cab15	none	54d1e8cbec124e4f	24	69.7196	155896	/nfs/share/instances/gbd/cnf/006c57c6c09a6e4a4402f1dd264cab15-49-114312.cnf.xz	c6d26e830f3069a857bcf1d65abe592e	station-repacking	unknown	615298	27251	9443678	3	614033	1	1	4	2	0	9	3	1242	614036	1265	1265	614033
006cc1f4e081e7fd96a50a2171792f21	none	3f5fc4f09e673fa3	24	40.3721	94552	/nfs/share/instances/gbd/cnf/006cc1f4e081e7fd96a50a2171792f21-54-87110.cnf.xz	dfd70d15b08fede08d51912e1b1341f5	station-repacking	unknown	349879	19672	5305900	3	348967	1	1	3	2	0	7	1	894	348970	912	912	348967
006da0e3f4ad5b1ecd3651e66dbea36d	none	a14792f5ee1c21c9	24	34.0668	91408	/nfs/share/instances/gbd/cnf/006da0e3f4ad5b1ecd3651e66dbea36d-52-89991.cnf.xz	fb3d274bc265898c6be7acd3a26c97da	station-repacking	unknown	382609	20698	5812542	3	381654	1	0	3	2	0	6	0	940	381657	955	955	381654
006dcf7e3d0fa7c39b0f542ad0ec949e	none	NA	NA	12007.2	49804040	/nfs/share/instances/gbd/cnf/006dcf7e3d0fa7c39b0f542ad0ec949e-UNSAT_P_sat_snake_p05.pddl_30.cnf.xz	1c04625e0d407e5572a1e49dfcf5bce8	planning	unsat	239054681	449048	4227570344	428	239029886	0	0	0	0	0	59	0	24308	239030314	6106692	196	232948398
006e293dfc476b21c246b963c6eb16b7	none	05f6b88530de9659	63	31.9774	37548	/nfs/share/instances/gbd/cnf/006e293dfc476b21c246b963c6eb16b7-bench_2778.smt2.cnf.xz	e783c7abe50390825c521d9adb1ad0f8	agile	sat	112560	32084	2054846	490	36575	72129	3291	0	2	67	2	0	4	62409	68038	28168	10315
0071b624d91ebe408b0585f8c4e34fd9	none	3fdf9329fb76b486	11	9.93173	50708	/nfs/share/instances/gbd/cnf/0071b624d91ebe408b0585f8c4e34fd9-ctl_4291_567_7_unsat.cnf.xz	ab1e93b4ab8be51c40a14b9543dd5c61	scheduling	unsat	154654	17850	3198392	0	32032	38441	84181	0	0	0	0	0	0	47601	47597	3648	3659
0072b0ce5c4ab8386763d10ef88f636e	none	318e795c66b3ad62	24	67.7148	164576	/nfs/share/instances/gbd/cnf/0072b0ce5c4ab8386763d10ef88f636e-49-118813.cnf.xz	87e7af8fda89223e204d0171229619c4	station-repacking	unknown	648616	28081	9967425	3	647312	1	1	4	2	0	9	3	1281	647315	1304	1304	647312
0072b38614d34eb3c6ffc36aef13ee3a	none	1c39b8804a93717b	24	61.2645	138540	/nfs/share/instances/gbd/cnf/0072b38614d34eb3c6ffc36aef13ee3a-60-116374.cnf.xz	0130801e6dc199e8b5fcfb813f6f7729	station-repacking	unknown	581068	26375	8913484	3	579843	1	1	3	2	0	8	3	1204	579846	1225	1225	579843
00784e1e1a9ae772aae7f33c1fa5fbe2	none	1249d822eb0d0c8b	3	0.569385	0	/nfs/share/instances/gbd/cnf/00784e1e1a9ae772aae7f33c1fa5fbe2-unif-k7-r85-v200-c17000-S266028630-005.cnf.xz	8152eb558f074c8088470f35bce4ed97	uniform-random	unknown	17000	200	503336	0	0	0	0	0	0	17000	0	0	0	1033	1093	127	131
00847fca81490df01b9e239fd6027378	none	f0d88e4dbb09334f	63	29.7482	31324	/nfs/share/instances/gbd/cnf/00847fca81490df01b9e239fd6027378-bench_1614.smt2.cnf.xz	570b13596b34c42f4f21c8830bf2a6c9	agile	sat	87531	25148	1577452	539	27713	56955	2266	0	2	50	4	0	2	46819	54701	20392	9172
0085c7242003811caf4b7eff64022e55	none	b2395d4f352a8721	24	74.0321	174460	/nfs/share/instances/gbd/cnf/0085c7242003811caf4b7eff64022e55-50-121857.cnf.xz	1a7e89ef52d5a8988ea77b02ed7f30ef	station-repacking	unknown	738915	30116	11391945	3	737512	1	1	4	3	0	8	4	1379	737515	1403	1403	737512
008d1f79eec2b7712637e48aec7a63cd	none	936f0bc65967897d	24	52.0364	133124	/nfs/share/instances/gbd/cnf/008d1f79eec2b7712637e48aec7a63cd-53-105501.cnf.xz	1cf53ddb8e63e40181920c3b7980d77d	station-repacking	unknown	536507	25337	8217692	3	535337	1	1	3	2	0	8	2	1150	535340	1170	1170	535337
008d78352c3d630340e6a3ef0d7242d7	none	fcfe20a84118561f	22	80.9085	220792	/nfs/share/instances/gbd/cnf/008d78352c3d630340e6a3ef0d7242d7-54-132166.cnf.xz	0ad5dd947099af3c0783274dd270672d	station-repacking	unknown	819124	31511	12644081	3	817657	1	1	3	2	0	9	4	1444	817660	1467	1467	817657
008e7716c69009090ff6bd0048dc55f8	none	c45c905b90f3a615	75	91.0627	65504	/nfs/share/instances/gbd/cnf/008e7716c69009090ff6bd0048dc55f8-SAT_dat.k10.cnf.xz	be2f6ade7fb483507373d03afa16dca9	hardware-verification	unsat	207720	46169	4061570	148	84712	114816	155	294	11	1546	4486	0	1552	139105	127761	26186	20234
008fa3f37db9759dee825665e78e2e80	none	70f5c54b0536467f	24	56.5649	115616	/nfs/share/instances/gbd/cnf/008fa3f37db9759dee825665e78e2e80-57-101750.cnf.xz	f88f8e340f859815fa59e35258b23019	station-repacking	unknown	471724	23581	7205637	3	470631	1	1	4	2	0	7	2	1073	470634	1093	1093	470631
0091ac9434f528a4007d82d2443d2dc9	none	392206f617911784	4	0.617807	0	/nfs/share/instances/gbd/cnf/0091ac9434f528a4007d82d2443d2dc9-ER_500_10_2.apx_2_DS-ST.cnf.xz	2596746a3a5a1a98e989221c8a2bf134	argumentation	unknown	38698	1002	471615	1	38196	0	0	0	0	0	0	0	501	37696	25799	501	12900
0092f19206d4641caaa3a638914bee3f	none	a57d2b8f218bf689	24	47.7606	122668	/nfs/share/instances/gbd/cnf/0092f19206d4641caaa3a638914bee3f-51-106342.cnf.xz	a0d603e1998e9f10f0f64eb03cfe002b	station-repacking	unknown	517852	24875	7925826	3	516700	1	1	4	2	0	8	2	1131	516703	1152	1152	516700
0094d44002500c187e3c2d07a13bee7c	none	356c59011990f7df	4	0.050779	0	/nfs/share/instances/gbd/cnf/0094d44002500c187e3c2d07a13bee7c-unif-k3-r4.25-v480-c2040-S926047226-039.cnf.xz	db459329b26cef4c2cbd590442b6b877	uniform-random	unknown	2040	480	30229	0	0	2040	0	0	0	0	0	0	0	1040	1000	254	250
009a4a6c23299b864508393ee726625a	none	1e915d55b801dce6	14	1.33813	0	/nfs/share/instances/gbd/cnf/009a4a6c23299b864508393ee726625a-bench_10899.smt2.cnf.xz	f2fb36d7d50cf535e66d9112f7ce8296	agile	unsat	16094	4665	248122	32	6615	8761	676	0	0	1	9	0	0	8342	10448	4740	1729
00a1604721e43896a93b5329e5b38af4	none	826279a7304e684c	24	61.3755	162476	/nfs/share/instances/gbd/cnf/00a1604721e43896a93b5329e5b38af4-51-127798.cnf.xz	0cfbd3c5674cc518ec59cc385f71e49f	station-repacking	unknown	642113	27824	9864572	3	640819	1	1	4	2	0	10	4	1269	640822	1294	1294	640819
00a30fb1c0150fe3d6692afd2b220887	none	4c0861b174ac6cd8	27	4.60204	12800	/nfs/share/instances/gbd/cnf/00a30fb1c0150fe3d6692afd2b220887-Break_triple_10_16.xml.cnf.xz	d3bca9554403ba14eb67668c5955d205	scheduling	sat	28686	6443	409067	1	26468	1694	56	0	0	0	0	0	467	26249	11536	2420	15586
00a62eb89afbf27e1addf8f5c437da9b	none	9356b6ed708bf0b2	8	2.89172	0	/nfs/share/instances/gbd/cnf/00a62eb89afbf27e1addf8f5c437da9b-ortholatin-7.cnf.xz	0d70f59e9d0fbac87d26088a5f9a8812	unknown	sat	101038	6076	1497399	0	92610	245	686	0	49	7399	0	0	49	92904	17199	392	76832
00a981f385cd209d41e1efa1f5f29bac	none	9743a3beed31c2c5	81	94.0882	85268	/nfs/share/instances/gbd/cnf/00a981f385cd209d41e1efa1f5f29bac-ibm-2004-03-k70.cnf.xz	cec04e06ad991983108fe7ed0cd92fea	hardware-verification	sat	286405	69839	5158079	951	198973	59577	9369	5495	4414	2725	752	1154	2995	223385	215283	22034	27707
00ae4072f9b57d5d3cfe8919aff1b776	none	af64ccdc3bea7849	18	381.335	1204596	/nfs/share/instances/gbd/cnf/00ae4072f9b57d5d3cfe8919aff1b776-163.smt2.cnf.xz	fc97bd0ec4cb87b2f68aa86ced6b7939	bitvector	sat	4048674	1279524	83539105	121	2134278	1914275	0	0	0	0	0	0	0	2918172	2023057	591068	1298121
00aec3b2e38968bf8a922709e2acfccd	none	5c817c779ba898c6	3	1.08952	0	/nfs/share/instances/gbd/cnf/00aec3b2e38968bf8a922709e2acfccd-unif-k5-r20-v2000-c40000-S837431592-027-UNKNOWN.cnf.xz	46e8013cf9d4abccc77ac23ebae90828	uniform-random	unknown	40000	2000	1068581	0	0	0	0	40000	0	0	0	0	0	7520	7570	1278	1219
00aefd1fc30c425075166ca051e57218	none	9eb4f7197afb8632	NA	5196.9	3128016	/nfs/share/instances/gbd/cnf/00aefd1fc30c425075166ca051e57218-barman-pfile10-038.sas.ex.15.cnf.xz	fdf55e1b02a137ed2884650e1b991092	planning	unsat	976656	430288	404779114	367	552383	125455	22262	8367	10922	7087	3076	2736	244001	552750	854048	367	122608
00b1c27aee52d6dd9e112fa55d4cc1ca	none	011fb00a6754f2b6	24	99.3517	227580	/nfs/share/instances/gbd/cnf/00b1c27aee52d6dd9e112fa55d4cc1ca-44-133937.cnf.xz	97955f61242534e7f83a587498330ff7	station-repacking	unknown	924336	33651	14297924	3	922772	1	1	5	2	0	9	2	1541	922775	1564	1564	922772
00b46ace235e3915a439c77a231a5657	none	b1aab2c350a388b8	10	2.4878	0	/nfs/share/instances/gbd/cnf/00b46ace235e3915a439c77a231a5657-TableSymModel_output_7_3_9.bul_.dimacs.cnf.xz	ec7ff6e2dc7b5cbfac5fa6bbfbe4121c	social-golfer	sat	70140	7182	1074390	21	55188	13230	1323	0	0	0	0	0	378	68439	5691	399	51219
00b9b467c26540853360491401da61a5	none	4a50c8f02ea2077d	NA	23.1527	16920	/nfs/share/instances/gbd/cnf/00b9b467c26540853360491401da61a5-minand064.cnf.xz	187460f08c94149081ab81130be5c5ce	bitvector	unsat	42956	14703	653012	2	28636	14318	0	0	0	0	0	0	0	29085	19566	9074	22943
00bb0b4ef28ed38c49de4c54b9fabc4d	none	027fd33175ef0091	22	1.79429	0	/nfs/share/instances/gbd/cnf/00bb0b4ef28ed38c49de4c54b9fabc4d-25_2.cnf.xz	f5a9ab84b535fa44e91b7326cec9e453	cryptography-simon	sat	13792	4128	220677	128	3264	10400	0	0	0	0	0	0	0	6592	10592	65	2463
